NAME,DATE,Assets,Liabilities,Equity,Paidup Capital,Revenue,Net Profit,EPS (Baht),ROA(%),ROE(%),Net Profit Margin(%),Last Price(Baht),Market Cap.,P/E,P/BV,Book Value per share (Baht),Dvd. Yield(%),Industry,Sector
TVO,30/09/2020,11057.84,2006.15,8654.48,808.61,18421.76,1189.64,1.47,18.33,18.74,6.46,33.75,27290.62,17.21,3.15,10.70,4.30,Agro & Food Industry,Food & Beverage
VGI,30/09/2017,7984.98,4879.67,1856.12,686.43,3358.28,826.40,0.12,18.22,40.33,24.61,6.55,47188.38,68.14,22.05,0.31,0.87,Services,Media & Publishing
VGI,30/09/2018,9616.51,3699.29,4425.80,720.43,4079.66,846.23,0.12,14.29,26.94,20.74,7.80,66742.10,67.36,4.83,1.61,0.97,Services,Media & Publishing
VGI,30/09/2019,22687.39,6239.96,13696.27,855.67,5362.39,1101.24,0.13,10.06,12.15,20.54,9.55,82236.63,66.37,5.25,1.83,0.98,Services,Media & Publishing
VGI,30/09/2020,17076.95,3999.29,12783.90,861.12,4428.78,1423.94,0.17,5.92,10.75,32.15,6.65,57264.25,85.14,3.96,1.68,0.92,Services,Media & Publishing
WHA,30/09/2017,73618.96,45085.55,25243.73,1432.24,12409.96,3266.43,0.23,7.69,14.00,26.32,4.00,57289.72,14.47,2.72,1.47,3.84,Property & Construction,Property Development
WHA,30/09/2018,78344.95,47330.85,27225.73,1433.43,11622.20,2906.81,0.20,7.08,11.08,25.01,4.28,61350.66,19.46,2.39,1.79,3.26,Property & Construction,Property Development
WHA,30/09/2019,82263.83,49163.25,29477.63,1470.91,13385.81,3229.25,0.22,6.54,11.39,24.12,3.88,57071.30,16.36,1.90,2.04,2.10,Property & Construction,Property Development
WHA,30/09/2020,83154.72,51567.74,28249.47,1494.68,4860.55,1069.87,0.07,4.91,7.79,22.01,3.04,45438.38,20.01,1.61,1.89,4.40,Property & Construction,Property Development
WHAUP,30/09/2017,21378.19,8801.21,12576.98,3825.00,3704.26,1980.92,0.54,12.29,19.81,53.48,8.10,30982.50,22.04,2.55,3.17,,Resources,Energy & Utilities
WHAUP,30/09/2018,23773.27,9724.00,14049.27,3825.00,3918.40,2251.90,0.59,11.82,16.91,57.47,5.55,21228.75,10.20,1.58,3.51,3.66,Resources,Energy & Utilities
WHAUP,30/09/2019,26418.72,12859.45,13559.27,3825.00,3884.04,2137.21,0.56,10.05,15.48,55.03,5.45,20846.25,8.88,1.54,3.54,3.88,Resources,Energy & Utilities
WHAUP,30/09/2020,26061.56,13950.35,12111.22,3825.00,1884.85,548.47,0.14,5.64,7.39,29.10,4.20,16065.00,16.95,1.33,3.17,6.01,Resources,Energy & Utilities
